Repository_Name,Dependency_List,Dependency_Version,Vulnerability_Severity,CI_CD_Pipeline_Stage,Infrastructure_Script,Resource_Type,Public_Exposure,Severity_Score,Exposure_Score,Total_Risk_Score,Risk_Level
analytics-worker,log4j,5.5.9,Medium,Deploy,analytics-worker_infra.tf,KubernetesCluster,Yes,3.0,5,8.0,High
auth-api,django,1.13.20,Critical,Deploy,auth-api_infra.tf,LoadBalancer,Yes,0.0,5,5.0,Medium
user-profile,pandas,1.15.17,Critical,Test,user-profile_infra.tf,Server,No,0.0,0,0.0,Low
payment-service,pandas,5.1.6,Critical,Test,payment-service_infra.tf,KubernetesCluster,Yes,0.0,5,5.0,Medium
user-profile,flask,2.1.3,Low,Test,user-profile_infra.tf,KubernetesCluster,No,1.0,0,1.0,Low
notification-service,lodash,5.10.15,Low,Deploy,notification-service_infra.tf,Storage,No,1.0,0,1.0,Low
auth-api,flask,0.20.14,High,Build,auth-api_infra.tf,Database,Yes,5.0,5,10.0,High
payment-service,numpy,5.16.11,Critical,Deploy,payment-service_infra.tf,LoadBalancer,No,0.0,0,0.0,Low
auth-api,flask,4.17.3,Medium,Deploy,auth-api_infra.tf,Database,No,3.0,0,3.0,Low
order-engine,flask,4.2.9,Medium,Test,order-engine_infra.tf,LoadBalancer,Yes,3.0,5,8.0,High
user-profile,spring-core,4.9.20,Low,Deploy,user-profile_infra.tf,Server,No,1.0,0,1.0,Low
user-profile,django,3.3.13,Critical,Build,user-profile_infra.tf,KubernetesCluster,Yes,0.0,5,5.0,Medium
payment-service,lodash,1.18.9,Low,Test,payment-service_infra.tf,Server,No,1.0,0,1.0,Low
order-engine,numpy,5.0.6,Critical,Deploy,order-engine_infra.tf,KubernetesCluster,No,0.0,0,0.0,Low
notification-service,jsonwebtoken,3.20.9,Low,Test,notification-service_infra.tf,KubernetesCluster,Yes,1.0,5,6.0,Medium
payment-service,pandas,4.20.11,High,Deploy,payment-service_infra.tf,Server,No,5.0,0,5.0,Medium
analytics-worker,lodash,3.20.0,High,Build,analytics-worker_infra.tf,LoadBalancer,No,5.0,0,5.0,Medium
analytics-worker,requests,1.3.15,High,Deploy,analytics-worker_infra.tf,LoadBalancer,Yes,5.0,5,10.0,High
notification-service,requests,1.19.19,Low,Build,notification-service_infra.tf,LoadBalancer,Yes,1.0,5,6.0,Medium
analytics-worker,flask,4.9.15,High,Build,analytics-worker_infra.tf,KubernetesCluster,Yes,5.0,5,10.0,High
auth-api,jsonwebtoken,0.14.12,Medium,Deploy,auth-api_infra.tf,Database,No,3.0,0,3.0,Low
order-engine,flask,2.0.4,Critical,Deploy,order-engine_infra.tf,LoadBalancer,Yes,0.0,5,5.0,Medium
notification-service,flask,5.14.2,Medium,Build,notification-service_infra.tf,LoadBalancer,Yes,3.0,5,8.0,High
analytics-worker,flask,3.17.18,Medium,Deploy,analytics-worker_infra.tf,LoadBalancer,No,3.0,0,3.0,Low
user-profile,jsonwebtoken,2.14.17,High,Test,user-profile_infra.tf,Database,No,5.0,0,5.0,Medium
auth-api,requests,5.0.11,High,Test,auth-api_infra.tf,KubernetesCluster,Yes,5.0,5,10.0,High
order-engine,requests,5.7.20,Critical,Build,order-engine_infra.tf,Storage,No,0.0,0,0.0,Low
order-engine,spring-core,1.20.19,High,Build,order-engine_infra.tf,LoadBalancer,No,5.0,0,5.0,Medium
order-engine,log4j,2.16.14,Medium,Test,order-engine_infra.tf,Database,Yes,3.0,5,8.0,High
auth-api,jsonwebtoken,5.10.14,Low,Build,auth-api_infra.tf,Storage,No,1.0,0,1.0,Low
analytics-worker,numpy,4.9.15,High,Test,analytics-worker_infra.tf,Storage,Yes,5.0,5,10.0,High
payment-service,flask,4.0.13,Medium,Test,payment-service_infra.tf,LoadBalancer,Yes,3.0,5,8.0,High
user-profile,numpy,5.13.18,Medium,Build,user-profile_infra.tf,Database,Yes,3.0,5,8.0,High
notification-service,pandas,3.17.1,Critical,Deploy,notification-service_infra.tf,Server,No,0.0,0,0.0,Low
user-profile,flask,5.2.1,Critical,Test,user-profile_infra.tf,Database,No,0.0,0,0.0,Low
order-engine,jsonwebtoken,1.16.12,Critical,Deploy,order-engine_infra.tf,KubernetesCluster,No,0.0,0,0.0,Low
analytics-worker,django,5.16.5,Low,Deploy,analytics-worker_infra.tf,KubernetesCluster,Yes,1.0,5,6.0,Medium
auth-api,spring-core,5.6.6,Low,Build,auth-api_infra.tf,Database,No,1.0,0,1.0,Low
auth-api,express,4.17.0,Low,Deploy,auth-api_infra.tf,Server,Yes,1.0,5,6.0,Medium
auth-api,spring-core,4.16.10,High,Build,auth-api_infra.tf,Storage,Yes,5.0,5,10.0,High
notification-service,express,2.7.14,Low,Test,notification-service_infra.tf,Storage,No,1.0,0,1.0,Low
payment-service,django,2.9.18,Medium,Deploy,payment-service_infra.tf,KubernetesCluster,Yes,3.0,5,8.0,High
auth-api,jsonwebtoken,0.9.0,Low,Build,auth-api_infra.tf,Server,No,1.0,0,1.0,Low
notification-service,django,5.2.11,Critical,Deploy,notification-service_infra.tf,Server,Yes,0.0,5,5.0,Medium
auth-api,express,1.14.12,Medium,Test,auth-api_infra.tf,Server,No,3.0,0,3.0,Low
analytics-worker,jsonwebtoken,4.13.16,Critical,Deploy,analytics-worker_infra.tf,Storage,No,0.0,0,0.0,Low
payment-service,lodash,4.11.9,High,Build,payment-service_infra.tf,Server,Yes,5.0,5,10.0,High
user-profile,log4j,5.15.18,Critical,Test,user-profile_infra.tf,Storage,No,0.0,0,0.0,Low
user-profile,flask,1.4.1,Low,Build,user-profile_infra.tf,Server,Yes,1.0,5,6.0,Medium
analytics-worker,requests,0.11.1,Low,Build,analytics-worker_infra.tf,LoadBalancer,No,1.0,0,1.0,Low
user-profile,lodash,1.16.5,Low,Test,user-profile_infra.tf,Storage,Yes,1.0,5,6.0,Medium
analytics-worker,jsonwebtoken,5.12.4,Medium,Deploy,analytics-worker_infra.tf,LoadBalancer,Yes,3.0,5,8.0,High
auth-api,pandas,3.10.10,Low,Test,auth-api_infra.tf,LoadBalancer,Yes,1.0,5,6.0,Medium
payment-service,requests,1.19.13,Medium,Deploy,payment-service_infra.tf,Storage,No,3.0,0,3.0,Low
notification-service,log4j,1.0.17,Critical,Deploy,notification-service_infra.tf,LoadBalancer,No,0.0,0,0.0,Low
payment-service,log4j,2.9.9,Medium,Test,payment-service_infra.tf,Server,Yes,3.0,5,8.0,High
auth-api,flask,4.11.12,Medium,Deploy,auth-api_infra.tf,KubernetesCluster,No,3.0,0,3.0,Low
auth-api,numpy,4.6.5,High,Deploy,auth-api_infra.tf,LoadBalancer,No,5.0,0,5.0,Medium
order-engine,log4j,4.8.3,High,Test,order-engine_infra.tf,LoadBalancer,No,5.0,0,5.0,Medium
user-profile,lodash,1.18.13,Low,Build,user-profile_infra.tf,Server,Yes,1.0,5,6.0,Medium
auth-api,jsonwebtoken,0.12.17,High,Test,auth-api_infra.tf,KubernetesCluster,Yes,5.0,5,10.0,High
user-profile,pandas,2.18.9,Low,Deploy,user-profile_infra.tf,Server,No,1.0,0,1.0,Low
auth-api,express,3.10.2,Low,Deploy,auth-api_infra.tf,Storage,No,1.0,0,1.0,Low
user-profile,flask,2.14.0,Medium,Test,user-profile_infra.tf,Storage,Yes,3.0,5,8.0,High
order-engine,express,1.0.8,Low,Deploy,order-engine_infra.tf,Storage,No,1.0,0,1.0,Low
auth-api,log4j,5.19.1,Critical,Deploy,auth-api_infra.tf,Server,No,0.0,0,0.0,Low
analytics-worker,spring-core,5.10.2,Critical,Test,analytics-worker_infra.tf,KubernetesCluster,Yes,0.0,5,5.0,Medium
auth-api,django,4.15.5,Medium,Test,auth-api_infra.tf,LoadBalancer,Yes,3.0,5,8.0,High
auth-api,express,4.10.20,High,Build,auth-api_infra.tf,KubernetesCluster,Yes,5.0,5,10.0,High
payment-service,numpy,2.9.19,Low,Deploy,payment-service_infra.tf,LoadBalancer,Yes,1.0,5,6.0,Medium
notification-service,jsonwebtoken,4.17.11,Low,Test,notification-service_infra.tf,Database,No,1.0,0,1.0,Low
user-profile,pandas,4.2.4,Low,Test,user-profile_infra.tf,LoadBalancer,Yes,1.0,5,6.0,Medium
user-profile,express,2.18.11,High,Test,user-profile_infra.tf,LoadBalancer,No,5.0,0,5.0,Medium
order-engine,jsonwebtoken,0.7.13,Critical,Test,order-engine_infra.tf,KubernetesCluster,No,0.0,0,0.0,Low
user-profile,pandas,1.3.3,Critical,Test,user-profile_infra.tf,Storage,Yes,0.0,5,5.0,Medium
notification-service,jsonwebtoken,5.0.20,Critical,Test,notification-service_infra.tf,Database,No,0.0,0,0.0,Low
user-profile,log4j,3.4.4,Low,Test,user-profile_infra.tf,Storage,Yes,1.0,5,6.0,Medium
payment-service,jsonwebtoken,3.16.19,Critical,Test,payment-service_infra.tf,Storage,No,0.0,0,0.0,Low
notification-service,pandas,1.14.13,Medium,Test,notification-service_infra.tf,Database,Yes,3.0,5,8.0,High
user-profile,numpy,4.8.8,High,Deploy,user-profile_infra.tf,Database,Yes,5.0,5,10.0,High
user-profile,numpy,5.0.3,Low,Test,user-profile_infra.tf,Storage,No,1.0,0,1.0,Low
analytics-worker,numpy,5.19.9,Medium,Test,analytics-worker_infra.tf,KubernetesCluster,No,3.0,0,3.0,Low
payment-service,flask,5.2.12,Low,Test,payment-service_infra.tf,Server,No,1.0,0,1.0,Low
auth-api,django,4.9.8,Low,Build,auth-api_infra.tf,Database,Yes,1.0,5,6.0,Medium
auth-api,pandas,3.4.2,High,Deploy,auth-api_infra.tf,Server,Yes,5.0,5,10.0,High
auth-api,log4j,3.10.6,High,Deploy,auth-api_infra.tf,Database,Yes,5.0,5,10.0,High
notification-service,requests,4.13.12,Low,Build,notification-service_infra.tf,Database,Yes,1.0,5,6.0,Medium
user-profile,log4j,3.17.18,High,Test,user-profile_infra.tf,Storage,Yes,5.0,5,10.0,High
analytics-worker,flask,1.18.20,Low,Deploy,analytics-worker_infra.tf,LoadBalancer,No,1.0,0,1.0,Low
notification-service,django,0.9.13,High,Deploy,notification-service_infra.tf,LoadBalancer,Yes,5.0,5,10.0,High
auth-api,spring-core,1.1.14,Critical,Test,auth-api_infra.tf,Server,Yes,0.0,5,5.0,Medium
analytics-worker,flask,0.16.17,Critical,Deploy,analytics-worker_infra.tf,Server,Yes,0.0,5,5.0,Medium
auth-api,jsonwebtoken,3.6.11,Critical,Deploy,auth-api_infra.tf,Server,Yes,0.0,5,5.0,Medium
payment-service,django,4.16.15,Low,Build,payment-service_infra.tf,KubernetesCluster,No,1.0,0,1.0,Low
user-profile,pandas,5.9.11,Critical,Build,user-profile_infra.tf,Server,Yes,0.0,5,5.0,Medium
user-profile,spring-core,5.13.20,High,Build,user-profile_infra.tf,KubernetesCluster,No,5.0,0,5.0,Medium
user-profile,numpy,4.12.18,High,Build,user-profile_infra.tf,Server,No,5.0,0,5.0,Medium
payment-service,django,3.11.13,Medium,Test,payment-service_infra.tf,Database,No,3.0,0,3.0,Low
payment-service,flask,3.2.2,High,Deploy,payment-service_infra.tf,Server,Yes,5.0,5,10.0,High
user-profile,jsonwebtoken,1.2.20,Medium,Test,user-profile_infra.tf,Server,No,3.0,0,3.0,Low
auth-api,express,5.7.0,Critical,Test,auth-api_infra.tf,LoadBalancer,Yes,0.0,5,5.0,Medium
order-engine,pandas,0.1.4,Critical,Deploy,order-engine_infra.tf,LoadBalancer,Yes,0.0,5,5.0,Medium
payment-service,lodash,2.17.5,Medium,Build,payment-service_infra.tf,Storage,Yes,3.0,5,8.0,High
notification-service,jsonwebtoken,4.12.17,Medium,Deploy,notification-service_infra.tf,Database,No,3.0,0,3.0,Low
user-profile,flask,4.13.1,Critical,Test,user-profile_infra.tf,Database,Yes,0.0,5,5.0,Medium
notification-service,express,4.5.1,Critical,Build,notification-service_infra.tf,Server,Yes,0.0,5,5.0,Medium
notification-service,spring-core,0.9.8,Medium,Build,notification-service_infra.tf,Database,No,3.0,0,3.0,Low
notification-service,django,4.3.19,Critical,Build,notification-service_infra.tf,Database,Yes,0.0,5,5.0,Medium
user-profile,flask,4.5.20,Critical,Test,user-profile_infra.tf,Server,Yes,0.0,5,5.0,Medium
auth-api,jsonwebtoken,2.7.6,Critical,Build,auth-api_infra.tf,KubernetesCluster,Yes,0.0,5,5.0,Medium
user-profile,express,2.6.10,Low,Test,user-profile_infra.tf,Database,No,1.0,0,1.0,Low
user-profile,spring-core,1.14.5,Low,Deploy,user-profile_infra.tf,Server,No,1.0,0,1.0,Low
order-engine,django,0.8.20,Low,Build,order-engine_infra.tf,Storage,No,1.0,0,1.0,Low
order-engine,log4j,0.3.6,Medium,Build,order-engine_infra.tf,Server,Yes,3.0,5,8.0,High
order-engine,spring-core,4.18.13,Critical,Deploy,order-engine_infra.tf,Server,No,0.0,0,0.0,Low
auth-api,lodash,2.8.0,Low,Deploy,auth-api_infra.tf,Database,No,1.0,0,1.0,Low
analytics-worker,jsonwebtoken,5.2.9,Low,Test,analytics-worker_infra.tf,Database,Yes,1.0,5,6.0,Medium
payment-service,flask,1.16.10,Critical,Test,payment-service_infra.tf,KubernetesCluster,Yes,0.0,5,5.0,Medium
payment-service,express,1.15.13,High,Build,payment-service_infra.tf,Database,Yes,5.0,5,10.0,High
payment-service,requests,2.20.2,Critical,Test,payment-service_infra.tf,Storage,No,0.0,0,0.0,Low
order-engine,jsonwebtoken,1.4.16,Medium,Test,order-engine_infra.tf,Database,Yes,3.0,5,8.0,High
order-engine,log4j,5.14.11,Critical,Deploy,order-engine_infra.tf,KubernetesCluster,No,0.0,0,0.0,Low
notification-service,lodash,3.11.16,High,Test,notification-service_infra.tf,Database,No,5.0,0,5.0,Medium
analytics-worker,jsonwebtoken,5.4.3,Medium,Build,analytics-worker_infra.tf,Database,Yes,3.0,5,8.0,High
notification-service,lodash,1.9.14,High,Build,notification-service_infra.tf,LoadBalancer,Yes,5.0,5,10.0,High
user-profile,numpy,0.13.3,Low,Deploy,user-profile_infra.tf,Storage,No,1.0,0,1.0,Low
user-profile,requests,2.19.5,Critical,Test,user-profile_infra.tf,Server,No,0.0,0,0.0,Low
user-profile,numpy,5.17.2,Medium,Test,user-profile_infra.tf,Database,Yes,3.0,5,8.0,High
analytics-worker,flask,1.4.14,Low,Test,analytics-worker_infra.tf,LoadBalancer,No,1.0,0,1.0,Low
analytics-worker,log4j,2.1.16,Medium,Deploy,analytics-worker_infra.tf,Server,Yes,3.0,5,8.0,High
auth-api,express,4.17.14,Critical,Deploy,auth-api_infra.tf,Storage,Yes,0.0,5,5.0,Medium
auth-api,spring-core,1.17.19,Critical,Deploy,auth-api_infra.tf,Database,No,0.0,0,0.0,Low
analytics-worker,django,4.0.12,Low,Deploy,analytics-worker_infra.tf,LoadBalancer,Yes,1.0,5,6.0,Medium
order-engine,spring-core,3.12.0,Low,Deploy,order-engine_infra.tf,Database,Yes,1.0,5,6.0,Medium
payment-service,spring-core,4.16.17,Medium,Build,payment-service_infra.tf,Storage,Yes,3.0,5,8.0,High
order-engine,lodash,1.10.1,Low,Build,order-engine_infra.tf,KubernetesCluster,Yes,1.0,5,6.0,Medium
notification-service,log4j,5.12.13,Medium,Test,notification-service_infra.tf,LoadBalancer,Yes,3.0,5,8.0,High
analytics-worker,pandas,1.17.4,Critical,Build,analytics-worker_infra.tf,Storage,Yes,0.0,5,5.0,Medium
notification-service,express,1.0.8,Low,Build,notification-service_infra.tf,KubernetesCluster,Yes,1.0,5,6.0,Medium
notification-service,jsonwebtoken,1.15.4,Medium,Build,notification-service_infra.tf,Storage,Yes,3.0,5,8.0,High
notification-service,requests,1.18.5,Critical,Build,notification-service_infra.tf,Database,No,0.0,0,0.0,Low
auth-api,spring-core,4.6.14,Critical,Build,auth-api_infra.tf,Server,No,0.0,0,0.0,Low
notification-service,requests,2.11.11,Low,Test,notification-service_infra.tf,LoadBalancer,Yes,1.0,5,6.0,Medium
user-profile,jsonwebtoken,1.13.7,Critical,Deploy,user-profile_infra.tf,Database,No,0.0,0,0.0,Low
user-profile,express,0.12.8,High,Test,user-profile_infra.tf,Server,Yes,5.0,5,10.0,High
analytics-worker,express,5.1.11,Critical,Deploy,analytics-worker_infra.tf,KubernetesCluster,No,0.0,0,0.0,Low
analytics-worker,requests,5.13.8,Critical,Build,analytics-worker_infra.tf,Server,Yes,0.0,5,5.0,Medium
analytics-worker,jsonwebtoken,2.4.17,Low,Test,analytics-worker_infra.tf,KubernetesCluster,Yes,1.0,5,6.0,Medium
analytics-worker,jsonwebtoken,3.18.6,Low,Build,analytics-worker_infra.tf,KubernetesCluster,Yes,1.0,5,6.0,Medium
order-engine,express,4.5.15,High,Test,order-engine_infra.tf,Storage,No,5.0,0,5.0,Medium
analytics-worker,log4j,4.19.10,High,Deploy,analytics-worker_infra.tf,Database,Yes,5.0,5,10.0,High
analytics-worker,express,0.2.19,Low,Build,analytics-worker_infra.tf,Database,No,1.0,0,1.0,Low
order-engine,lodash,4.2.6,Medium,Build,order-engine_infra.tf,Storage,No,3.0,0,3.0,Low
user-profile,log4j,2.8.5,Critical,Deploy,user-profile_infra.tf,Storage,Yes,0.0,5,5.0,Medium
analytics-worker,lodash,1.19.14,High,Deploy,analytics-worker_infra.tf,LoadBalancer,Yes,5.0,5,10.0,High
user-profile,flask,3.2.20,High,Build,user-profile_infra.tf,Server,Yes,5.0,5,10.0,High
payment-service,pandas,2.7.15,Medium,Deploy,payment-service_infra.tf,KubernetesCluster,No,3.0,0,3.0,Low
user-profile,pandas,2.11.17,Low,Deploy,user-profile_infra.tf,KubernetesCluster,No,1.0,0,1.0,Low
auth-api,express,4.5.16,High,Build,auth-api_infra.tf,Server,No,5.0,0,5.0,Medium
user-profile,numpy,0.16.16,Critical,Build,user-profile_infra.tf,KubernetesCluster,Yes,0.0,5,5.0,Medium
user-profile,numpy,2.6.2,Low,Build,user-profile_infra.tf,Storage,Yes,1.0,5,6.0,Medium
payment-service,jsonwebtoken,5.20.8,Low,Deploy,payment-service_infra.tf,Storage,Yes,1.0,5,6.0,Medium
order-engine,requests,2.4.8,Medium,Test,order-engine_infra.tf,KubernetesCluster,Yes,3.0,5,8.0,High
notification-service,express,1.20.0,Critical,Deploy,notification-service_infra.tf,KubernetesCluster,No,0.0,0,0.0,Low
user-profile,spring-core,1.2.12,Critical,Build,user-profile_infra.tf,Database,Yes,0.0,5,5.0,Medium
auth-api,jsonwebtoken,3.8.12,Critical,Test,auth-api_infra.tf,Database,No,0.0,0,0.0,Low
payment-service,django,4.7.0,Critical,Test,payment-service_infra.tf,LoadBalancer,Yes,0.0,5,5.0,Medium
analytics-worker,log4j,3.18.8,Medium,Build,analytics-worker_infra.tf,Storage,No,3.0,0,3.0,Low
analytics-worker,spring-core,0.0.0,High,Test,analytics-worker_infra.tf,KubernetesCluster,Yes,5.0,5,10.0,High
payment-service,pandas,2.11.15,Critical,Test,payment-service_infra.tf,LoadBalancer,Yes,0.0,5,5.0,Medium
order-engine,log4j,1.16.20,Critical,Build,order-engine_infra.tf,KubernetesCluster,No,0.0,0,0.0,Low
notification-service,requests,5.2.10,Critical,Build,notification-service_infra.tf,Server,No,0.0,0,0.0,Low
notification-service,jsonwebtoken,2.19.17,Low,Test,notification-service_infra.tf,Server,No,1.0,0,1.0,Low
user-profile,log4j,0.16.20,High,Build,user-profile_infra.tf,Server,No,5.0,0,5.0,Medium
payment-service,django,1.0.8,Low,Build,payment-service_infra.tf,LoadBalancer,Yes,1.0,5,6.0,Medium
user-profile,numpy,2.17.1,High,Test,user-profile_infra.tf,Database,No,5.0,0,5.0,Medium
user-profile,pandas,1.10.17,Medium,Build,user-profile_infra.tf,Server,Yes,3.0,5,8.0,High
order-engine,numpy,1.19.5,Low,Deploy,order-engine_infra.tf,Database,Yes,1.0,5,6.0,Medium
